Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C001 Statistical Area Level 1 2011 to Local Government Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
10102101225,1101225,16470,Queanbeyan (C),1,100,,,,,,,
10102101226,1101226,16470,Queanbeyan (C),1,100,,,,,,,
10102101227,1101227,16470,Queanbeyan (C),1,100,,,,,,,
10102101228,1101228,16470,Queanbeyan (C),1,100,,,,,,,
10102101229,1101229,16470,Queanbeyan (C),1,100,,,,,,,
10102101230,1101230,16470,Queanbeyan (C),1,100,,,,,,,
10102101231,1101231,16470,Queanbeyan (C),1,100,,,,,,,
10102101232,1101232,16470,Queanbeyan (C),1,100,,,,,,,
10103101301,1101301,11000,Bombala (A),1,100,,,,,,,
10103101302,1101302,11000,Bombala (A),1,100,,,,,,,
10103101303,1101303,11000,Bombala (A),1,100,,,,,,,
10103101304,1101304,11000,Bombala (A),1,100,,,,,,,
10103101305,1101305,11000,Bombala (A),1,100,,,,,,,
10103101306,1101306,11000,Bombala (A),1,100,,,,,,,
10103101307,1101307,11000,Bombala (A),0.9736816,97.3681552,,,,,,,
10103101307,1101307,12050,Cooma-Monaro (A),0.0263152,2.6315159,,,,,,,
10103101308,1101308,11000,Bombala (A),0.9999916,99.999156,,,,,,,
10103101401,1101401,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101402,1101402,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101403,1101403,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101404,1101404,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101405,1101405,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101406,1101406,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101407,1101407,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101408,1101408,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101409,1101409,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101410,1101410,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101411,1101411,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101412,1101412,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101413,1101413,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101414,1101414,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101415,1101415,12050,Cooma-Monaro (A),1,100,,,,,,,
10103101416,1101416,12050,Cooma-Monaro (A),1,100,,,,,,,
